stop_number,city,country,state_province,lat,lng,timezone,utc_offset,utc_offset_rounded,utc_time,local_time,population,temperature_c,weather_condition,wind_speed_mps,wind_direction_deg,wind_gust_mps
26,Nelson,New Zealand,,-41.2931,173.2381,Pacific/Auckland,13,13,2025-12-24 11:15:46,2025-12-25 00:15:46,46437,10.6,Mainly clear,3.97,219,10.11
27,New Plymouth,New Zealand,,-39.0578,174.0742,Pacific/Auckland,13,13,2025-12-24 11:16:26,2025-12-25 00:16:26,57600,17.2,Clear sky,6.44,246,8.50
28,Stratford,New Zealand,,-39.341,174.284,Pacific/Auckland,13,13,2025-12-24 11:16:31,2025-12-25 00:16:31,5740,11.4,Clear sky,2.33,286,6.11
29,Hawera,New Zealand,,-39.589,174.282,Pacific/Auckland,13,13,2025-12-24 11:16:36,2025-12-25 00:16:36,9792,11.4,Clear sky,2.33,286,6.11
30,Whanganui,New Zealand,,-39.9325,175.0519,Pacific/Auckland,13,13,2025-12-24 11:16:47,2025-12-25 00:16:47,39400,12.7,Partly cloudy,5.61,306,10.69
31,Palmerston North,New Zealand,,-40.3549,175.6095,Pacific/Auckland,13,13,2025-12-24 11:16:58,2025-12-25 00:16:58,76236,15.1,Clear sky,6.58,285,10.81
32,Feilding,New Zealand,,-40.225,175.565,Pacific/Auckland,13,13,2025-12-24 11:17:00,2025-12-25 00:17:00,17800,13.2,Mainly clear,6.28,312,11.50
33,Levin,New Zealand,,-40.6333,175.275,Pacific/Auckland,13,13,2025-12-24 11:17:08,2025-12-25 00:17:08,17670,15.1,Clear sky,6.58,285,10.81
34,Masterton,New Zealand,,-40.9667,175.65,Pacific/Auckland,13,13,2025-12-24 11:17:16,2025-12-25 00:17:16,19818,15.4,Partly cloudy,6.39,307,13.69
35,Paraparaumu Beach,New Zealand,,-40.888,174.983,Pacific/Auckland,13,13,2025-12-24 11:17:24,2025-12-25 00:17:24,9087,15.0,Clear sky,5.50,328,12.31
36,Waikanae,New Zealand,,-40.876,175.064,Pacific/Auckland,13,13,2025-12-24 11:17:25,2025-12-25 00:17:25,12100,15.0,Clear sky,5.50,328,12.31
37,Paraparaumu,New Zealand,,-40.9144,175.0056,Pacific/Auckland,13,13,2025-12-24 11:17:26,2025-12-25 00:17:26,28701,15.0,Clear sky,5.50,328,12.31
38,Porirua,New Zealand,,-41.1333,174.85,Pacific/Auckland,13,13,2025-12-24 11:17:31,2025-12-25 00:17:31,55218,15.0,Clear sky,5.50,328,12.31
39,Lower Hutt,New Zealand,,-41.2167,174.9167,Pacific/Auckland,13,13,2025-12-24 11:17:32,2025-12-25 00:17:32,103400,15.0,Clear sky,5.50,328,12.31
40,Wellington,New Zealand,,-41.2889,174.7772,Pacific/Auckland,13,13,2025-12-24 11:17:35,2025-12-25 00:17:35,216200,16.9,Clear sky,14.22,317,18.31
41,Upper Hutt,New Zealand,,-41.1333,175.05,Pacific/Auckland,13,13,2025-12-24 11:17:39,2025-12-25 00:17:39,41000,15.0,Clear sky,5.50,328,12.31
42,Blenheim,New Zealand,,-41.5167,173.95,Pacific/Auckland,13,13,2025-12-24 11:17:55,2025-12-25 00:17:55,26400,15.6,Clear sky,6.56,283,14.50
43,Kaikoura,New Zealand,,-42.4,173.6814,Pacific/Auckland,13,13,2025-12-24 11:18:10,2025-12-25 00:18:10,2210,13.4,Clear sky,3.67,272,9.81
44,Waitangi,New Zealand,,-43.9514,-176.5611,Pacific/Chatham,13,13,2025-12-24 11:20:15,2025-12-25 00:20:15,200,14.1,Mainly clear,5.00,290,9.89
45,Napier,New Zealand,,-39.4903,176.9178,Pacific/Auckland,13,13,2025-12-24 11:22:09,2025-12-25 00:22:09,62241,18.3,Clear sky,4.03,291,7.69
46,Havelock North,New Zealand,,-39.6667,176.8833,Pacific/Auckland,13,13,2025-12-24 11:22:12,2025-12-25 00:22:12,13950,18.3,Clear sky,4.03,291,7.69
47,Gisborne,New Zealand,,-38.6625,178.0178,Pacific/Auckland,13,13,2025-12-24 11:22:35,2025-12-25 00:22:35,34527,16.1,Clear sky,4.67,293,10.11
48,Whakatane,New Zealand,,-37.964,176.984,Pacific/Auckland,13,13,2025-12-24 11:22:53,2025-12-25 00:22:53,16850,14.7,Clear sky,1.78,288,3.69
49,Rotorua,New Zealand,,-38.1378,176.2514,Pacific/Auckland,13,13,2025-12-24 11:23:04,2025-12-25 00:23:04,54204,10.2,Clear sky,3.94,241,7.81
50,Taupo,New Zealand,,-38.69,176.08,Pacific/Auckland,13,13,2025-12-24 11:23:13,2025-12-25 00:23:13,23622,9.4,Clear sky,2.25,264,6.11
51,Turangi,New Zealand,,-38.989,175.81,Pacific/Auckland,13,13,2025-12-24 11:23:20,2025-12-25 00:23:20,3320,10.1,Clear sky,1.36,287,4.19
52,Tokoroa,New Zealand,,-38.22,175.872,Pacific/Auckland,13,13,2025-12-24 11:23:33,2025-12-25 00:23:33,13572,12.2,Clear sky,4.61,253,9.61
53,Te Awamutu,New Zealand,,-38.0083,175.325,Pacific/Auckland,13,13,2025-12-24 11:23:41,2025-12-25 00:23:41,12195,11.7,Clear sky,1.75,233,4.89
54,Cambridge,New Zealand,,-37.8833,175.4667,Pacific/Auckland,13,13,2025-12-24 11:23:44,2025-12-25 00:23:44,18651,11.7,Clear sky,1.75,233,4.89
55,Hamilton,New Zealand,,-37.7833,175.2833,Pacific/Auckland,13,13,2025-12-24 11:23:47,2025-12-25 00:23:47,176500,11.7,Clear sky,1.75,233,4.89
56,Tauranga,New Zealand,,-37.6858,176.1667,Pacific/Auckland,13,13,2025-12-24 11:23:59,2025-12-25 00:23:59,151300,15.8,Clear sky,3.25,250,6.39
57,Thames,New Zealand,,-37.1384,175.5405,Pacific/Auckland,13,13,2025-12-24 11:24:12,2025-12-25 00:24:12,7293,16.3,Clear sky,2.42,184,4.69
58,Northcote,New Zealand,,-36.8019,174.7494,Pacific/Auckland,13,13,2025-12-24 11:24:24,2025-12-25 00:24:24,205605,17.1,Clear sky,3.50,226,7.19
59,Pukekohe East,New Zealand,,-37.195,174.9481,Pacific/Auckland,13,13,2025-12-24 11:24:31,2025-12-25 00:24:31,2018,15.1,Clear sky,2.25,205,4.00
60,Waiuku,New Zealand,,-37.25,174.7333,Pacific/Auckland,13,13,2025-12-24 11:24:35,2025-12-25 00:24:35,9171,17.1,Clear sky,3.50,226,7.19
61,Waitakere,New Zealand,,-36.849,174.543,Pacific/Auckland,13,13,2025-12-24 11:24:42,2025-12-25 00:24:42,2018,17.1,Clear sky,3.50,226,7.19
62,Manukau City,New Zealand,,-37,174.885,Pacific/Auckland,13,13,2025-12-24 11:24:47,2025-12-25 00:24:47,0,15.1,Clear sky,2.25,205,4.00
63,Auckland,New Zealand,,-36.8492,174.7653,Pacific/Auckland,13,13,2025-12-24 11:24:50,2025-12-25 00:24:50,1470100,15.1,Clear sky,2.25,205,4.00
64,Whangarei,New Zealand,,-35.725,174.3236,Pacific/Auckland,13,13,2025-12-24 11:25:11,2025-12-25 00:25:11,50784,18.0,Partly cloudy,2.86,223,5.11
65,Kerikeri,New Zealand,,-35.2244,173.9514,Pacific/Auckland,13,13,2025-12-24 11:25:21,2025-12-25 00:25:21,6960,19.8,Overcast,4.28,306,5.19
66,Kaitaia,New Zealand,,-35.1125,173.2628,Pacific/Auckland,13,13,2025-12-24 11:25:31,2025-12-25 00:25:31,5868,18.2,Overcast,1.17,162,2.31
67,'Eua,Tonga,,-21.3778,-174.9294,Pacific/Tongatapu,13,13,2025-12-24 11:30:26,2025-12-25 00:30:26,4945,26.1,Clear sky,4.86,91,6.81
68,Tongatapu,Tonga,,-21.1789,-175.1982,Pacific/Tongatapu,13,13,2025-12-24 11:30:32,2025-12-25 00:30:32,74611,27.0,Mainly clear,5.97,99,8.39
69,Nomuka,Tonga,,-20.2667,-174.8,Pacific/Tongatapu,13,13,2025-12-24 11:30:49,2025-12-25 00:30:49,303,27.0,Mainly clear,6.47,101,8.69
70,Nomuka'iki,Tonga,,-20.25,-174.7667,Pacific/Tongatapu,13,13,2025-12-24 11:30:49,2025-12-25 00:30:49,61,27.4,Clear sky,6.14,99,8.39
71,Matuku,Tonga,,-19.9333,-174.95,Pacific/Tongatapu,13,13,2025-12-24 11:30:56,2025-12-25 00:30:56,48,27.4,Clear sky,6.14,99,8.39
72,'O'ua,Tonga,,-19.9,-174.8,Pacific/Tongatapu,13,13,2025-12-24 11:30:58,2025-12-25 00:30:58,80,27.4,Clear sky,6.14,99,8.39
73,Ha'ano,Tonga,,-19.6667,-174.2833,Pacific/Tongatapu,13,13,2025-12-24 11:31:07,2025-12-25 00:31:07,463,27.0,Partly cloudy,6.64,108,9.00
74,Kulo,Tonga,,-19.8667,-174.7167,Pacific/Tongatapu,13,13,2025-12-24 11:31:15,2025-12-25 00:31:15,25,27.1,Clear sky,6.50,106,8.89
75,'Ofolanga,Tonga,,-19.8,-174.4667,Pacific/Tongatapu,13,13,2025-12-24 11:31:19,2025-12-25 00:31:19,45,27.1,Clear sky,6.50,106,8.89
76,Lifuka,Tonga,,-19.8,-174.35,Pacific/Tongatapu,13,13,2025-12-24 11:31:21,2025-12-25 00:31:21,2966,27.1,Clear sky,6.50,106,8.89
77,Tungua,Tonga,,-19.8833,-174.75,Pacific/Tongatapu,13,13,2025-12-24 11:31:28,2025-12-25 00:31:28,110,27.1,Clear sky,6.50,106,8.89
78,Foa,Tonga,,-19.75,-174.3,Pacific/Tongatapu,13,13,2025-12-24 11:31:35,2025-12-25 00:31:35,1392,27.0,Partly cloudy,6.64,108,9.00
79,Tatafa,Tonga,,-19.7333,-174.3167,Pacific/Tongatapu,13,13,2025-12-24 11:31:36,2025-12-25 00:31:36,30,27.0,Partly cloudy,6.64,108,9.00
80,Fonoi,Tonga,,-19.8333,-174.5,Pacific/Tongatapu,13,13,2025-12-24 11:31:39,2025-12-25 00:31:39,63,27.1,Clear sky,6.50,106,8.89
81,Fotuha'a,Tonga,,-19.7333,-174.2667,Pacific/Tongatapu,13,13,2025-12-24 11:31:43,2025-12-25 00:31:43,135,27.0,Partly cloudy,6.64,108,9.00
82,'Uiha,Tonga,,-19.8833,-174.4,Pacific/Tongatapu,13,13,2025-12-24 11:31:47,2025-12-25 00:31:47,778,27.1,Clear sky,6.50,106,8.89
83,Mo'unga'one,Tonga,,-19.85,-174.7333,Pacific/Tongatapu,13,13,2025-12-24 11:31:52,2025-12-25 00:31:52,86,27.1,Clear sky,6.50,106,8.89
84,Lofanga,Tonga,,-19.8167,-174.5833,Pacific/Tongatapu,13,13,2025-12-24 11:31:55,2025-12-25 00:31:55,134,27.1,Clear sky,6.50,106,8.89
85,Kotu,Tonga,,-19.9167,-174.85,Pacific/Tongatapu,13,13,2025-12-24 11:31:59,2025-12-25 00:31:59,55,27.4,Clear sky,6.14,99,8.39
86,Ha'afeva,Tonga,,-19.9333,-174.7167,Pacific/Tongatapu,13,13,2025-12-24 11:32:01,2025-12-25 00:32:01,192,27.1,Clear sky,6.50,106,8.89
87,Falevai,Tonga,,-18.7333,-174.0167,Pacific/Tongatapu,13,13,2025-12-24 11:32:25,2025-12-25 00:32:25,95,26.2,Dense drizzle,7.00,83,9.81
88,Nuapapu,Tonga,,-18.7167,-174.1,Pacific/Tongatapu,13,13,2025-12-24 11:32:26,2025-12-25 00:32:26,167,26.2,Dense drizzle,7.00,83,9.81
89,Okoa,Tonga,,-18.6333,-174.0167,Pacific/Tongatapu,13,13,2025-12-24 11:32:28,2025-12-25 00:32:28,45,26.2,Dense drizzle,7.00,83,9.81
90,Koloa,Tonga,,-18.6833,-174.0667,Pacific/Tongatapu,13,13,2025-12-24 11:32:30,2025-12-25 00:32:30,75,26.2,Dense drizzle,7.00,83,9.81
91,Kapa,Tonga,,-18.6833,-174.0333,Pacific/Tongatapu,13,13,2025-12-24 11:32:30,2025-12-25 00:32:30,312,26.2,Dense drizzle,7.00,83,9.81
92,Lape,Tonga,,-18.6167,-174.0333,Pacific/Tongatapu,13,13,2025-12-24 11:32:31,2025-12-25 00:32:31,38,26.2,Dense drizzle,7.00,83,9.81
93,Pangaimotu,Tonga,,-18.6667,-173.95,Pacific/Tongatapu,13,13,2025-12-24 11:32:33,2025-12-25 00:32:33,453,26.2,Dense drizzle,7.00,83,9.81
94,Taunga,Tonga,,-18.7333,-174.0667,Pacific/Tongatapu,13,13,2025-12-24 11:32:35,2025-12-25 00:32:35,53,26.2,Dense drizzle,7.00,83,9.81
95,Talau,Tonga,,-18.65,-174.1167,Pacific/Tongatapu,13,13,2025-12-24 11:32:37,2025-12-25 00:32:37,21,26.2,Dense drizzle,7.00,83,9.81
96,Ovaka,Tonga,,-18.7167,-174.05,Pacific/Tongatapu,13,13,2025-12-24 11:32:38,2025-12-25 00:32:38,58,26.2,Dense drizzle,7.00,83,9.81
97,'Utungake,Tonga,,-18.7167,-173.9667,Pacific/Tongatapu,13,13,2025-12-24 11:32:40,2025-12-25 00:32:40,285,26.2,Dense drizzle,7.00,83,9.81
98,Vava'u,Tonga,,-18.65,-173.9833,Pacific/Tongatapu,13,13,2025-12-24 11:32:41,2025-12-25 00:32:41,13738,26.2,Dense drizzle,7.00,83,9.81
99,Ofu,Tonga,,-18.6333,-174.1,Pacific/Tongatapu,13,13,2025-12-24 11:32:43,2025-12-25 00:32:43,79,26.2,Dense drizzle,7.00,83,9.81
100,Hunga,Tonga,,-18.6833,-174.1333,Pacific/Tongatapu,13,13,2025-12-24 11:32:44,2025-12-25 00:32:44,89,26.2,Dense drizzle,7.00,83,9.81
101,Niuafo'ou,Tonga,,-15.6,-175.6333,Pacific/Tongatapu,13,13,2025-12-24 11:33:42,2025-12-25 00:33:42,523,26.4,Overcast,5.19,340,8.19
102,Tafahi,Tonga,,-15.85,-173.75,Pacific/Tongatapu,13,13,2025-12-24 11:34:14,2025-12-25 00:34:14,14,27.0,Light drizzle,1.72,154,4.11
103,Niuatoputapu,Tonga,,-15.95,-173.7833,Pacific/Tongatapu,13,13,2025-12-24 11:34:16,2025-12-25 00:34:16,759,26.1,Slight rain,2.42,143,4.81
104,Savai'i,Samoa,,-13.6167,-172.45,Pacific/Apia,13,13,2025-12-24 11:35:01,2025-12-25 00:35:01,48000,24.6,Overcast,0.39,140,2.31
105,Manono,Samoa,,-13.8333,-172.0667,Pacific/Apia,13,13,2025-12-24 11:35:09,2025-12-25 00:35:09,889,24.9,Overcast,0.22,63,1.00
106,Apolima,Samoa,,-13.8167,-172.1333,Pacific/Apia,13,13,2025-12-24 11:35:10,2025-12-25 00:35:10,75,24.9,Overcast,0.22,63,1.00
107,Upolu,Samoa,,-13.85,-171.75,Pacific/Apia,13,13,2025-12-24 11:35:16,2025-12-25 00:35:16,147000,26.5,Overcast,0.56,265,1.31
108,Namua,Samoa,,-14.0167,-171.4833,Pacific/Apia,13,13,2025-12-24 11:35:22,2025-12-25 00:35:22,35,26.5,Overcast,0.56,265,1.31
109,Nu'utele,Samoa,,-14.0333,-171.5,Pacific/Apia,13,13,2025-12-24 11:35:22,2025-12-25 00:35:22,25,26.5,Overcast,0.56,265,1.31
110,Fakaofo,Tokelau,,-9.3833,-171.2167,Pacific/Fakaofo,13,13,2025-12-24 11:36:42,2025-12-25 00:36:42,570,25.5,Light drizzle,1.94,29,5.89
111,Nukunonu,Tokelau,,-9.1667,-171.85,Pacific/Fakaofo,13,13,2025-12-24 11:36:53,2025-12-25 00:36:53,449,26.2,Moderate drizzle,2.50,85,4.89
112,Atafu,Tokelau,,-8.55,-172.5,Pacific/Fakaofo,13,13,2025-12-24 11:37:09,2025-12-25 00:37:09,541,28.9,Mainly clear,5.33,348,7.00
113,Kanton,Kiribati,,-2.8167,-171.6833,Pacific/Enderbury,13,13,2025-12-24 11:38:48,2025-12-25 00:38:48,20,27.8,Overcast,5.94,42,7.69
114,Zvëzdnyy,Russia,,70.9333,-179.6,Asia/Anadyr,12,12,2025-12-24 12:00:00,2025-12-25 00:00:00,10,-31.6,Mainly clear,3.47,7,7.61
115,Pevek,Russia,,69.7,170.2833,Asia/Anadyr,12,12,2025-12-24 12:00:50,2025-12-25 00:00:50,4083,-28.5,Overcast,1.58,145,2.69
116,Cherskiy,Russia,,68.7501,161.33,Asia/Anadyr,12,12,2025-12-24 12:01:36,2025-12-25 00:01:36,3707,-36.1,Overcast,4.97,170,8.31
117,Bilibino,Russia,,68.05,166.45,Asia/Anadyr,12,12,2025-12-24 12:02:04,2025-12-25 00:02:04,5449,-34.7,Overcast,1.31,212,3.00
118,Mukhomornoye,Russia,,66.4171,173.3333,Asia/Anadyr,12,12,2025-12-24 12:02:47,2025-12-25 00:02:47,100,-33.4,Partly cloudy,0.42,36,1.11
119,Egvekinot,Russia,,66.3221,-179.1837,Asia/Anadyr,12,12,2025-12-24 12:03:29,2025-12-25 00:03:29,2248,-24.2,Overcast,0.64,274,2.31
120,Enurmino,Russia,,66.95,-171.8167,Asia/Anadyr,12,12,2025-12-24 12:04:10,2025-12-25 00:04:10,74,-15.8,Overcast,10.06,297,14.89
121,Uelen,Russia,,66.1594,-169.8092,Asia/Anadyr,12,12,2025-12-24 12:04:26,2025-12-25 00:04:26,255,-19.5,Clear sky,5.39,308,6.50
122,Lavrentiya,Russia,,65.5842,-170.9889,Asia/Anadyr,12,12,2025-12-24 12:04:37,2025-12-25 00:04:37,809,-19.5,Clear sky,2.25,287,5.19
123,Provideniya,Russia,,64.4235,-173.2258,Asia/Anadyr,12,12,2025-12-24 12:04:57,2025-12-25 00:04:57,2536,-11.9,Overcast,2.44,266,8.31
124,Beringovskiy,Russia,,63.0655,179.3067,Asia/Anadyr,12,12,2025-12-24 12:05:47,2025-12-25 00:05:47,1861,-17.7,Clear sky,1.31,288,2.69
125,Anadyr,Russia,,64.7333,177.5167,Asia/Anadyr,12,12,2025-12-24 12:06:13,2025-12-25 00:06:13,13043,-22.8,Clear sky,1.83,281,3.69
126,Ugol’nyye Kopi,Russia,,64.7333,177.7,Asia/Anadyr,12,12,2025-12-24 12:06:14,2025-12-25 00:06:14,3367,-22.8,Clear sky,1.83,281,3.69
127,Manily,Russia,,62.4908,165.3298,Asia/Kamchatka,12,12,2025-12-24 12:07:36,2025-12-25 00:07:36,667,-15.3,Overcast,0.19,90,3.11
128,Pakhachi,Russia,,60.5816,169.05,Asia/Kamchatka,12,12,2025-12-24 12:08:12,2025-12-25 00:08:12,10,-11.6,Overcast,4.53,26,7.39
129,Korf,Russia,,60.3667,166.0167,Asia/Kamchatka,12,12,2025-12-24 12:08:33,2025-12-25 00:08:33,18,-19.4,Overcast,1.03,14,1.50
130,Il’pyrskiy,Russia,,59.96,164.2,Asia/Kamchatka,12,12,2025-12-24 12:08:47,2025-12-25 00:08:47,97,-15.5,Overcast,3.03,36,3.69
131,Palana,Russia,,59.084,159.95,Asia/Kamchatka,12,12,2025-12-24 12:09:19,2025-12-25 00:09:19,3671,-11.2,Overcast,3.67,163,7.19
132,Utkholok,Russia,,57.5504,157.2333,Asia/Kamchatka,12,12,2025-12-24 12:09:49,2025-12-25 00:09:49,10,-9.4,Slight snow fall,3.92,166,7.69
133,Klyuchi,Russia,,56.3167,160.8333,Asia/Kamchatka,12,12,2025-12-24 12:10:21,2025-12-25 00:10:21,1089,-18.0,Overcast,0.31,270,1.19
134,Ust’-Kamchatsk,Russia,,56.2167,162.55,Asia/Kamchatka,12,12,2025-12-24 12:10:34,2025-12-25 00:10:34,4939,-6.2,Overcast,5.92,348,8.81
135,Petropavlovsk-Kamchatskiy,Russia,,53.0167,158.65,Asia/Kamchatka,12,12,2025-12-24 12:11:29,2025-12-25 00:11:29,162992,-11.0,Overcast,1.19,285,2.50
136,Yelizovo,Russia,,53.1833,158.3833,Asia/Kamchatka,12,12,2025-12-24 12:11:32,2025-12-25 00:11:32,36199,-11.0,Overcast,1.19,285,2.50
137,Oktyabr’skiy,Russia,,52.6636,156.2387,Asia/Kamchatka,12,12,2025-12-24 12:11:51,2025-12-25 00:11:51,1534,-5.2,Clear sky,5.72,116,8.11
138,Bol’sheretsk,Russia,,52.439,156.3594,Asia/Kamchatka,12,12,2025-12-24 12:11:54,2025-12-25 00:11:54,10,-16.9,Clear sky,2.03,121,3.11
139,Severo-Kuril’sk,Russia,,50.6667,156.1167,Asia/Kamchatka,12,12,2025-12-24 12:12:19,2025-12-25 00:12:19,2439,-9.1,Overcast,1.11,58,2.31
140,Enewetak,Marshall Islands,,11.5,162.3333,Pacific/Majuro,12,12,2025-12-24 12:21:28,2025-12-25 00:21:28,664,27.5,Overcast,6.42,43,9.50
141,Bikini,Marshall Islands,,11.6,165.55,Pacific/Majuro,12,12,2025-12-24 12:22:12,2025-12-25 00:22:12,9,27.0,Partly cloudy,5.03,13,6.81
142,Rongelap,Marshall Islands,,11.15,166.8667,Pacific/Majuro,12,12,2025-12-24 12:22:31,2025-12-25 00:22:31,79,26.5,Partly cloudy,5.47,35,7.89
143,Wotho,Marshall Islands,,10.1667,166,Pacific/Majuro,12,12,2025-12-24 12:22:49,2025-12-25 00:22:49,97,26.8,Clear sky,6.03,55,7.89
144,Ujae,Marshall Islands,,8.9167,165.75,Pacific/Majuro,12,12,2025-12-24 12:23:07,2025-12-25 00:23:07,364,27.2,Clear sky,6.08,60,8.39
145,Lae,Marshall Islands,,8.9167,166.25,Pacific/Majuro,12,12,2025-12-24 12:23:14,2025-12-25 00:23:14,190,27.2,Mainly clear,5.86,57,8.19
146,Lib,Marshall Islands,,8.3167,167.3667,Pacific/Majuro,12,12,2025-12-24 12:23:31,2025-12-25 00:23:31,115,27.6,Clear sky,5.69,66,8.61
147,Kwajalein,Marshall Islands,,8.7167,167.7333,Pacific/Kwajalein,12,12,2025-12-24 12:23:39,2025-12-25 00:23:39,11408,27.6,Clear sky,5.69,66,8.61
148,Likiep,Marshall Islands,,9.8167,169.1,Pacific/Majuro,12,12,2025-12-24 12:24:03,2025-12-25 00:24:03,401,26.7,Overcast,4.64,60,6.89
149,Ailuk,Marshall Islands,,10.2167,169.9833,Pacific/Majuro,12,12,2025-12-24 12:24:16,2025-12-25 00:24:16,339,27.0,Mainly clear,3.89,62,5.81
150,Utirik,Marshall Islands,,11.2167,169.85,Pacific/Majuro,12,12,2025-12-24 12:24:30,2025-12-25 00:24:30,435,26.5,Overcast,3.44,81,5.11
151,Mejit,Marshall Islands,,10.2833,170.8667,Pacific/Majuro,12,12,2025-12-24 12:24:49,2025-12-25 00:24:49,282,26.9,Overcast,3.92,62,5.31
152,Wotje,Marshall Islands,,9.45,170.2333,Pacific/Majuro,12,12,2025-12-24 12:25:04,2025-12-25 00:25:04,859,27.2,Mainly clear,4.28,61,5.69
153,Maloelap,Marshall Islands,,8.7333,171.0333,Pacific/Majuro,12,12,2025-12-24 12:25:19,2025-12-25 00:25:19,682,27.0,Clear sky,5.14,77,6.89
154,Aur,Marshall Islands,,8.2167,171.1,Pacific/Majuro,12,12,2025-12-24 12:25:26,2025-12-25 00:25:26,428,27.5,Mainly clear,4.92,62,6.39
155,Majuro,Marshall Islands,,7.0833,171.3833,Pacific/Majuro,12,12,2025-12-24 12:25:42,2025-12-25 00:25:42,27797,26.6,Mainly clear,4.64,65,5.61
